"","screenName","location","tweetID","text","latitude","longitude"
"59","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102154416335970304,"@Sinus_FusionBoy ( ´-<U+03C9>- )<U+FF8C><U+FF6F><U+52DD><U+3063><U+305F><U+306A>o(`<U+FF65><U+03C9>´<U+FF65>+o) <U+FF84><U+FF9E><U+FF94><U+FF67>…!((",NA,NA
"60","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102155313644359680,"@Sinus_FusionBoy <U+559C><U+3079><U+3088>!!www",NA,NA
"61","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102154879802368000,"@Sinus_FusionBoy <U+3080><U+3075><U+3075>
<U+559C><U+3093><U+3067><U+304F><U+308C><U+305F><U+306A><U+3089><U+826F><U+304B><U+3063><U+305F>(<U+FF1F>)
<U+30A4><U+30B1><U+30E1><U+30F3><U+306E><U+9854><U+306E><U+5168><U+8C8C><U+304C><U+660E><U+304B><U+3055><U+308C><U+308B><U+307E><U+3067><U+3042><U+3068><U+5C11><U+3057><U+306A><U+3053><U+3068><U+3092><U+671F><U+5F85><U+3057><U+3064><U+3064>
<U+3053><U+308C><U+304B><U+3089><U+3082><U+3088><U+308D><U+3057><U+304F><U+304A><U+9858><U+3044><U+3057><U+307E><U+3059><U+306D>!!",NA,NA
"62","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102112548189495296,"@Sinus_FusionBoy <U+306A><U+3093><U+304B><U+6B7B><U+306B><U+304B><U+3051><U+306E><U+306B><U+3063><U+3053><U+308A><U+30DE><U+30FC><U+30AF><U+3058><U+3083><U+306A><U+3044><U+306E>!<U+FF1F>",NA,NA
"63","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102154254741979136,"@Sinus_FusionBoy <U+3058><U+30FC>( <U+26AD>-<U+26AD>)
<U+3042><U+3001><U+30A4><U+30B1><U+30E1><U+30F3><U+3060><U+3002>
<U+78BA><U+4FE1><U+3057><U+305F><U+3002><U+30A4><U+30B1><U+30E1><U+30F3><U+30AA><U+30FC><U+30E9><U+653E><U+3063><U+3066><U+308B><U+3082><U+3093>",NA,NA
"64","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102153661323460608,"@Sinus_FusionBoy <U+3084><U+3081><U+306A><U+3044><U+6065><U+305A><U+304F><U+306A><U+3044>(<U+FFE3><U+FF65><U+03C9><U+FF65><U+FFE3>)",NA,NA
"65","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102152229295779840,"@Sinus_FusionBoy <U+3042><U+3001><U+305D><U+30FC><U+306A><U+306E><U+306D>www
<U+30D3><U+30C3><U+30AF><U+30EA><U+3057><U+305F><U+3088>www",NA,NA
"66","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102115462509297664,"@Sinus_FusionBoy <U+3060><U+3088><U+306D>!<U+FF1F><U+3048>!<U+FF1F><U+3042><U+308C>!<U+FF1F><U+3053><U+308C><U+30DC><U+30B1><U+308B><U+3084><U+3064>!<U+FF1F><U+3042><U+308C>!<U+FF1F>",NA,NA
"67","0752am","420 heaven",1100142539351289856,"please help Jonny secure funds for his nasal surgery!! I remember hearing his singing voice for the first time when… https://t.co/iT3tcUaF3V",NA,NA
"68","08j6Mng71HNwEkA","<U+3054><U+4E3B><U+4EBA><U+69D8>Love",1101611782387322880,"@Sinus_FusionBoy <U+304A><U+306F><U+3088>!<U+884C><U+3063><U+3066><U+3089><U+3063><U+3057><U+3083><U+3044>",NA,NA
"69","08j6Mng71HNwEkA","<U+3054><U+4E3B><U+4EBA><U+69D8>Love",1102155404920860672,"@Sinus_FusionBoy <U+5FDC><U+63F4><U+3057><U+3066><U+308B>!!",NA,NA
"70","08j6Mng71HNwEkA","<U+3054><U+4E3B><U+4EBA><U+69D8>Love",1102149078991855616,"@Sinus_FusionBoy <U+304A><U+3081><U+3067><U+3068><U+3046>!",NA,NA
"71","08j6Mng71HNwEkA","<U+3054><U+4E3B><U+4EBA><U+69D8>Love",1102155034140139520,"@Sinus_FusionBoy <U+3044><U+3064><U+304B><U+76DB><U+308C><U+308B><U+65E5><U+304C><U+304F><U+308B><U+3055>!!",NA,NA
"72","08j6Mng71HNwEkA","<U+3054><U+4E3B><U+4EBA><U+69D8>Love",1102154434694397952,"@Sinus_FusionBoy snow<U+3067><U+3082><U+FF1F>",NA,NA
"73","0di1CrbJguWUeYU","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07> <U+0E08>.<U+0E2A><U+0E38><U+0E23><U+0E34><U+0E19><U+0E17><U+0E23><U+0E4C>",1101628383274758144,"rupture sinus of Valsava from Non coronary cusp to right atrium 
DDx: Ventricular septal defect from LV to RA https://t.co/To52cwTMPL",14.8828674,103.4937242
"74","1239fghf","Turkey",1102329858301014016,"@KenanTuncer161 Aslinda tek satir ezberleyip çözülebiliyor. Dik olan eksen y ekseni sinus. Hepsi bu. Cos90. 0 olur.… https://t.co/eORJcj9s0M",38.963745,35.243322
"75","19700119T","<U+6771><U+4EAC><U+90FD>",1101245177589489664,"@Sinus_FusionBoy <U+304A><U+306F><U+3088><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+0669>(´<U+15DC>`*)<U+0648><U+0001F338>",35.6894875,139.6917064
"76","19700119T","<U+6771><U+4EAC><U+90FD>",1100889807046098944,"@Sinus_FusionBoy <U+304A><U+306F><U+3088><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+0001F337>

<U+30D5><U+30A9><U+30ED><U+30FC><U+3042><U+308A><U+304C><U+3068><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+3002>
<U+3088><U+308D><U+3057><U+304F><U+304A><U+9858><U+3044><U+3057><U+307E><U+3059>|•'-'•)<U+0648><U+2727>",35.6894875,139.6917064
"77","1980Phoenix","Ohio, USA",1102310484324294656,"@Ironhorse76 Following as many as I can. Currently sick with a nasty sinus infection",40.4172871,-82.907123
"78","1hydeee","Mothers Earth ",1100414784862732288,"@TheBHF 
Re: Sinus tachycardia",41.622925,-73.9185644
"79","1Lavishone","Keeping my eye on the sun",1102343230383783936,"@fardareismai2 Not without a fever. I had a nasty virus for a month with gross sinus issue and sore throat that has… https://t.co/Qk8rmWEArX",NA,NA
"80","25_Travis","Detroit, MI",1101868851858456576,"I wouldn’t wish a sinus headache on my worst enemy <U+0001F613>",42.331427,-83.0457538
"81","27thmansion","mxtx hell",1101238007921868800,"doing math with a sinus headache is actual torture",NA,NA
"82","28Clive","south wales uk",1100140739592445952,"Sinus infection really getting on my nerves now <U+0001F644>",51.6858341,-3.3821421
"83","2manysocks","hell",1102103383375314944,"i think I’m getting a sinus infection how wonderful",42.43472,-83.985
"84","2precious4world","louisville ky",1100880291361705984,"@SamSmithTweets <U+0001F922><U+0001F922> OMG and when you breathe and it hangs in the back of your throat and stays in your sinus passages.",38.2526647,-85.7584557
"85","3BS_Education","Worldwide",1101591755240153088,"Our nose model is a great teaching tool showing;
The outer nasal cartilages
The nasal cavity, maxillary, frontal an… https://t.co/RmM7bYiTMp",36.249758,-95.266826
"86","3piercingpirate","under the captain",1101518293276524544,"I have the worst sinus headache n tater tot's just talkin nonstop this morning, lol",NA,NA
"87","3rdrockhome","USA",1100820493215494144,"Muscle gene mutations implicated in human nasal/sinus cancer https://t.co/DbgwWaRmaC",37.09024,-95.712891
"88","40ishMusing","East Coast",1100721933522358272,"Current moon.
How do I go to bed completely fine and well hydrated and wake up with a sinus thing/infection (?)...… https://t.co/I5tBhtzqDC",62.4113634,-149.0729714
"89","43aiu","<U+5317><U+6D77><U+9053>",1101609937312999936,"@Sinus_FusionBoy <U+304A><U+306F><U+3088><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+0669>(*´<U+A4B3>`*)<U+06F6>
<U+4ECA><U+65E5><U+304C><U+3068><U+3066><U+3082><U+3044><U+3044><U+65E5><U+306B><U+306A><U+308A><U+307E><U+3059><U+3088><U+3046><U+306B>!
<U+5B66><U+6821><U+9811><U+5F35><U+3063><U+3066><U+304D><U+3066><U+304F><U+3060><U+3055><U+3044>!
<U+30D5><U+30A1><U+30A4><U+30C8><U+3067><U+3059>!",43.0646147,141.3468074
"90","43aiu","<U+5317><U+6D77><U+9053>",1101716633771368448,"@Sinus_FusionBoy <U+30FE><U+FF89><U+2267><U+2200><U+2266>)<U+FF72><U+FF74><U+FF72><U+FF74>!
<U+306F><U+3044>!<U+9811><U+5F35><U+3063><U+3066><U+304F><U+3060><U+3055><U+3044>!(<U+0E07> •`_•´)<U+0E07>",43.0646147,141.3468074
"91","4jinxremoving","Illinois, USA",1101501779517284352,"@Taymanffb That's what I told him, but he thinks he's over the virus and just has a sinus infection now. I'm haulin… https://t.co/g1KX8Qf3CI",40.6331249,-89.3985283
"92","512organics","Austin, Tx",1101977013357821952,"Like some of our other products, Herbal Decongestant Salve / Vapor Rub came into existence as the natural solution… https://t.co/IlO6FmzKPB",30.267153,-97.7430608
"93","89ishandwritten","Chicago - 6.28.18",1100793895984742400,"I’m going to the doctor and I already know they’re going to say “it’s allergies go home” or “it’s a sinus infection… https://t.co/FZEHFKxdj8",41.8781136,-87.6297982
"94","89ishandwritten","Chicago - 6.28.18",1100794567064999936,"My sinus, my allergies, and the season change teaming up to make me sick https://t.co/k94dirvIet",41.8781136,-87.6297982
"95","8LouQPBQJ80mMBQ","Osaka-fu, Japan",1101868443370893312,"@Sinus_FusionBoy <U+304A><U+3084><U+3059><U+307F><U+2B50>",34.6862971,135.5196609
"96","8LouQPBQJ80mMBQ","Osaka-fu, Japan",1100528409002704896,"@Sinus_FusionBoy <U+304A><U+306F><U+3088><U+3046><U+0001F603>",34.6862971,135.5196609
"97","8LouQPBQJ80mMBQ","Osaka-fu, Japan",1101610780300999936,"@Sinus_FusionBoy <U+304A><U+306F><U+3088><U+3046><U+0001F603><U+3044><U+3063><U+3066><U+3089><U+301C>",34.6862971,135.5196609
"98","8LouQPBQJ80mMBQ","Osaka-fu, Japan",1102210285866086400,"@Sinus_FusionBoy <U+304A><U+3084><U+3059><U+307F><U+0001F319>",34.6862971,135.5196609
"99","8LouQPBQJ80mMBQ","Osaka-fu, Japan",1100745554726809600,"@Sinus_FusionBoy <U+304A><U+304B><U+3048><U+308A><U+301C>",34.6862971,135.5196609
"100","8LouQPBQJ80mMBQ","Osaka-fu, Japan",1100166166528413696,"@Sinus_FusionBoy <U+304A><U+306F><U+3088><U+3046><U+0001F603>",34.6862971,135.5196609
"101","8LouQPBQJ80mMBQ","Osaka-fu, Japan",1101252864813326336,"@Sinus_FusionBoy <U+304A><U+306F><U+3086><U+301C>",34.6862971,135.5196609
"102","93sie","West Yorkshire",1102226170878328832,"Come to the conclusion that I have a sinus infection and it makes sense because I've been like this since I was ill… https://t.co/SUb1tFkWH6",53.8108176,-1.76261
"103","A1phaCanis","Virginia, USA",1102229921932427264,"@ClarkstrideR I'm right there with you bud.  I got a sinus infection myself.  Allergies must have snuck up on me.… https://t.co/hXWZEzfVA4",37.4315734,-78.6568942
"104","aadifani","East Java, Indonesia",1102180375055364096,"@nonaandin Mon maap belum hadir versi sinus :v",-7.5360639,112.2384017
"105","aalexknightt","Ontario, Canada",1100462393858187264,"@vinezzzz I don’t have a sinus infection from eating burritos Doctor Weirdo!!!!",51.253775,-85.323214
"106","aalvaroreis","Aracaju",1100482628522835968,"@byaaafernandes TYLENOL SINUS AGORAAAA",-10.9472468,-37.0730823
"107","AaronCampbell95","Northern Ireland / Liverpool",1100712858378256384,"We need technology that will drain sinus’s in seconds",53.403072,-3.016079
"108","AaronLinguini","Montreal",1101211461916000000,"I’ve been on a wait list for specialized physio therapy for nearly two years for EDS, I’m on a wait list for follow… https://t.co/l9VTzaM0nv",45.5016889,-73.567256
"109","AaronLinguini","Montreal",1100514497129791488,"@FredouBuchanan OMG EXACTLY

My mom was like “EAT THIS SPICY THING IT WILL CLEAR YOUR SINUS’”

I almost fought out… https://t.co/0GyeqPwlv2",45.5016889,-73.567256
"110","abbysheehan123","Braintree, MA",1102093401321811968,"I have either a wicked bad cold or a sinus infection idek and I just got back from a st paddys day bday and its 1:3… https://t.co/zzilGNdhcy",42.2079017,-71.0040013
"111","abcinthiabc","West Java, Indonesia",1100734265451413504,"i got a headache &amp; sinus congestion too. what is life <U+0001F60A>",-7.090911,107.668887
"112","abdulqawi_adnan","Paris, France",1101777487657422848,"@MbalaDieudo Sinus cosinus non non la c’est racine carrée de mon cul au carré et t’essayer quand même de comprendre… https://t.co/bT96UQmPNg",48.856614,2.3522219
"113","abejoinnaa","CGY",1101823191561920512,"KAKAPOY BAS KINABUHI NGA GI SINUS OY (!!!)",NA,NA
"114","abejoinnaa","CGY",1101861073668300800,"unta mawala na akong hilanat ug sinus :(",NA,NA
"115","abejoinnaa","CGY",1101472319451680768,"makasapot maning sinus oy gah",NA,NA
"116","abogguslife","United States",1100382141660028928,"I've been sick for about a week. Started with strep and now have a cold/sinus infection on top of it. I can't sleep… https://t.co/U9DqaSRk8N",37.09024,-95.712891
"117","AboutKidsHealth","Toronto, Canada",1100804103381401600,"Cold symptoms lasting longer than 10 days and swelling around the eye and over the sinuses may be signs of a sinus… https://t.co/4d0BjdyRkA",43.653226,-79.3831843
"118","ABU_MOHH","Riyadh",1100818265901809664,"@ECGQuizzes sinus bradicardia with ST elevation on anterior wall.",24.7135517,46.6752957
"119","abuhilalah","<U+0627><U+0644><U+062F><U+0648><U+062D><U+0629>, <U+062F><U+0648><U+0644><U+0629> <U+0642><U+0637><U+0631>",1101740722682777600,"Stop Coughing With These 11 Home Remedies - Health https://t.co/gfQ0Es2mjF",25.2854473,51.5310398
"120","abzlr","Taguig City",1101909286458875904,"kung tumatagos lang sana kamay ko, matagal ko ng kinayod barado kong sinus <U+0001F602>",14.5176184,121.0508645
"121","acdebeaux","Edinburgh, UK",1100856259778097152,"@p_kozenko @BJSurgery @alexandrucarap @hgok No evidence that slowly absorbable any better or worse than non absorba… https://t.co/PRntJkIq4q",55.953252,-3.188267
"122","ACrazyNDN","Oklahoma, USA",1101250553739390976,"@Deity7 Oh.. I have doped up on all the things for chest cold infection, sinus..coughing, sneezing..aching body.. “… https://t.co/N1FDsNPAxg",35.0077519,-97.092877
"123","ActionBastard","The One True Baltimore",1100121457408073728,"Today I learned that sinus infections make your eyeballs hurt",39.2903848,-76.6121893
"124","AcupunctureCT","Fairfield County, Connecticut",1100145969214226432,"Suffering from sinusitus? Get sinus pain relief now with acupuncture! CT Acupuncture Center --  online appointments… https://t.co/sf5SHgQW7J",41.2559654,-73.3708696
"125","adaliaaaa","Virginia",1100810057220972544,"Pretty sure I have a sinus infection",37.4315734,-78.6568942
"126","adamse96","West Virginia • Oklahoma ",1101891576685608960,"I think I finally found the right combo of OTC medicine for cold/sinus nonsense.",36.1229788,-97.0973825
"127","adcgordon","Just South of Lexington, KY",1100399700862132224,"Happy Tuesday #Arrow Tweeps!  I'm home w/ a sick kiddo - booger of a sinus infection<U+0001F630> 
To clean house...or to watch… https://t.co/sjmUY47mmD",37.997112,-84.5188191
"128","addydari","San Diego, CA",1100450820372348928,"Sinus infections will be the death of me. Anyone want to trade noses? <U+0001F61E><U+0001F927><U+0001F637><U+0001F62A>",32.715738,-117.1610838
"129","addyebeans","Philadelphia, PA",1100806382884929536,"@SmilieeBritt I’ve been doing it since February 5th. I feel amazing. I have so much more energy. I used to get head… https://t.co/0YU59UKaWV",39.9525839,-75.1652215
"130","adeceve","Philadelphia",1101513041827504128,"This loaner computer situation is pissing me off, I have a sinus and/or caffeine headache... I’m taking a walk. Whe… https://t.co/d9Rgby9lLD",39.9525839,-75.1652215
"131","Adhia13","BDJ - MLG",1100353548875780096,"pantesan akhir akhir ini cepat letih taunya sinus kumat lagi",NA,NA
"132","adkaromatherapy","Glens Falls, NY",1101453861582266368,"Thanks for the kind words! <U+2605><U+2605><U+2605><U+2605><U+2605> ""Excellent headache and clogged-sinus buster.  Aah!"" Sara S. #fragrance… https://t.co/nbNjj4Pmv4",43.3095164,-73.6440058
